Process with no PCG/ActUnit:
Scenario ; Region ; Process ; PrimaryCG ; Activity Unit 

BASE ; IE ; MINBIOAGRW11 ;  ; PJ
BASE ; IE ; MINBIOAGRW12 ;  ; PJ
BASE ; IE ; MINBIOAGRW13 ;  ; PJ
BASE ; IE ; MINBIOAGRW21 ;  ; PJ
BASE ; IE ; MINBIOAGRW22 ;  ; PJ
BASE ; IE ; MINBIOAGRW23 ;  ; PJ
BASE ; IE ; MINBIOAGRW31 ;  ; PJ
BASE ; IE ; MINBIOAGRW32 ;  ; PJ
BASE ; IE ; MINBIOAGRW33 ;  ; PJ
BASE ; IE ; MINBIOAGRW41 ;  ; PJ
BASE ; IE ; MINBIOAGRW42 ;  ; PJ
BASE ; IE ; MINBIOAGRW43 ;  ; PJ
BASE ; IE ; MINBIOINDW11 ;  ; PJ
BASE ; IE ; MINBIOINDW12 ;  ; PJ
BASE ; IE ; MINBIOINDW13 ;  ; PJ
BASE ; IE ; MINBIOMSW11 ;  ; PJ
BASE ; IE ; MINBIOMSW12 ;  ; PJ
BASE ; IE ; MINBIOMSW13 ;  ; PJ
BASE ; IE ; MINBIOMSW21 ;  ; PJ
BASE ; IE ; MINBIOMSW22 ;  ; PJ
BASE ; IE ; MINBIOMSW23 ;  ; PJ
BASE ; IE ; MINBIORVO1 ;  ; PJ
BASE ; IE ; MINBIORVO2 ;  ; PJ
BASE ; IE ; MINBIORVO3 ;  ; PJ
BASE ; IE ; MINBIOWOO11 ;  ; PJ
BASE ; IE ; MINBIOWOO12 ;  ; PJ
BASE ; IE ; MINBIOWOO13 ;  ; PJ
BASE ; IE ; MINBIOWOO21 ;  ; PJ
BASE ; IE ; MINBIOWOO22 ;  ; PJ
BASE ; IE ; MINBIOWOO23 ;  ; PJ

